run_id,seed,episode,episodes,mean_objective_return,objective_return_std,survival_rate,mean_final_energy,final_energy_std,mean_survivor_energy,mean_failure_energy
C,101,0,100,-0.960620523945894,32.55565997409939,0.45,-0.960620523945894,32.55565997409939,32.033232463719905,-27.955591150217913
C,101,250,100,3.119370701912138,5.482015290700136,0.68,3.119370701912138,5.482015290700136,6.17066013150423,-3.3646193359710566
C,101,500,100,3.5147812690009475,5.5536278780128345,0.73,3.5147812690009475,5.5536278780128345,6.190513524601601,-3.7196059405860047
C,101,750,100,13.331994492827034,31.570032119716416,0.53,13.331994492827034,31.570032119716416,41.41924274057385,-18.34085991420662
C,101,1000,100,1.981912632251349,7.096143325349873,0.63,1.981912632251349,7.096143325349873,6.327056757839615,-5.4165760140205625
C,101,1250,100,2.7435522184586505,6.893291852536046,0.65,2.7435522184586505,6.893291852536046,6.755439499564853,-4.707095589310007
C,101,1500,100,2.7435522184586505,6.893291852536046,0.65,2.7435522184586505,6.893291852536046,6.755439499564853,-4.707095589310007
C,101,1750,100,1.981912632251349,7.096143325349873,0.63,1.981912632251349,7.096143325349873,6.327056757839615,-5.4165760140205625
C,101,2000,100,1.981912632251349,7.096143325349873,0.63,1.981912632251349,7.096143325349873,6.327056757839615,-5.4165760140205625
C,101,2250,100,2.7435522184586505,6.893291852536046,0.65,2.7435522184586505,6.893291852536046,6.755439499564853,-4.707095589310007
C,101,2500,100,2.7435522184586505,6.893291852536046,0.65,2.7435522184586505,6.893291852536046,6.755439499564853,-4.707095589310007
C,101,2750,100,2.7435522184586505,6.893291852536046,0.65,2.7435522184586505,6.893291852536046,6.755439499564853,-4.707095589310007
C,101,3000,100,3.119370701912138,5.482015290700136,0.68,3.119370701912138,5.482015290700136,6.17066013150423,-3.3646193359710566
C,101,3250,100,1.981912632251349,7.096143325349873,0.63,1.981912632251349,7.096143325349873,6.327056757839615,-5.4165760140205625
C,101,3500,100,1.981912632251349,7.096143325349873,0.63,1.981912632251349,7.096143325349873,6.327056757839615,-5.4165760140205625
C,101,3750,100,1.981912632251349,7.096143325349873,0.63,1.981912632251349,7.096143325349873,6.327056757839615,-5.4165760140205625
C,101,4000,100,2.2668321716837254,6.997869064041254,0.66,2.2668321716837254,6.997869064041254,6.2517964356205695,-5.468686693605441
C,101,4250,100,3.5147812690009475,5.5536278780128345,0.73,3.5147812690009475,5.5536278780128345,6.190513524601601,-3.7196059405860047
C,101,4500,100,3.5147812690009475,5.5536278780128345,0.73,3.5147812690009475,5.5536278780128345,6.190513524601601,-3.7196059405860047
C,101,4750,100,2.7435522184586505,6.893291852536046,0.65,2.7435522184586505,6.893291852536046,6.755439499564853,-4.707095589310007
C,101,5000,100,1.981912632251349,7.096143325349873,0.63,1.981912632251349,7.096143325349873,6.327056757839615,-5.4165760140205625
