run_id,seed,episode,objective_return,final_energy,survived,steps,mean_td_loss,mean_gradient_norm,max_gradient_norm,weight_norm,mean_abs_q,max_abs_q,mean_abs_td_error,target_distance,epsilon
H_TARGET_LOW,33,1,3.7871253370093347,3.7871253370093347,1,6,,,,,,,,,0.99981
H_TARGET_LOW,33,2,40.07706360391029,40.07706360391029,1,6,,,,,,,,,0.99962
H_TARGET_LOW,33,3,3.12104553246023,3.12104553246023,1,6,,,,,,,,,0.99943
H_TARGET_LOW,33,4,-17.92872524693668,-17.92872524693668,0,6,,,,,,,,,0.99924
H_TARGET_LOW,33,5,-11.265782083878971,-11.265782083878971,0,6,,,,,,,,,0.99905
H_TARGET_LOW,33,6,21.707466760478162,21.707466760478162,1,6,,,,,,,,,0.99886
H_TARGET_LOW,33,7,-7.087593401815111,-7.087593401815111,0,6,,,,,,,,,0.99867
H_TARGET_LOW,33,8,70.18427405843116,70.18427405843116,1,6,,,,,,,,,0.99848
H_TARGET_LOW,33,9,-48.720321975682786,-48.720321975682786,0,6,,,,,,,,,0.99829
H_TARGET_LOW,33,10,42.552013968928975,42.552013968928975,1,6,,,,,,,,,0.9981
H_TARGET_LOW,33,11,5.815761860800659,5.815761860800659,1,6,,,,,,,,,0.99791
H_TARGET_LOW,33,12,-26.593718070044893,-26.593718070044893,0,6,,,,,,,,,0.99772
H_TARGET_LOW,33,13,-15.6331536898173,-15.6331536898173,0,6,,,,,,,,,0.99753
H_TARGET_LOW,33,14,-6.539896837783486,-6.539896837783486,0,6,,,,,,,,,0.99734
H_TARGET_LOW,33,15,0.021808468683642168,0.021808468683642168,1,6,,,,,,,,,0.99715
H_TARGET_LOW,33,16,5.534760619597148,5.534760619597148,1,6,,,,,,,,,0.99696
H_TARGET_LOW,33,17,2.540341758982986,2.540341758982986,1,6,,,,,,,,,0.99677
H_TARGET_LOW,33,18,-14.480315992449572,-14.480315992449572,0,6,,,,,,,,,0.99658
H_TARGET_LOW,33,19,5.1104033305103576,5.1104033305103576,1,6,,,,,,,,,0.99639
H_TARGET_LOW,33,20,-4.029961889404722,-4.029961889404722,0,6,,,,,,,,,0.9962
H_TARGET_LOW,33,21,-53.8698521591575,-53.8698521591575,0,6,,,,,,,,,0.99601
H_TARGET_LOW,33,22,20.565469831173182,20.565469831173182,1,6,,,,,,,,,0.99582
H_TARGET_LOW,33,23,47.63600598046677,47.63600598046677,1,6,,,,,,,,,0.99563
H_TARGET_LOW,33,24,-10.05490876609919,-10.05490876609919,0,6,,,,,,,,,0.99544
H_TARGET_LOW,33,25,-25.651689793912826,-25.651689793912826,0,6,,,,,,,,,0.99525
H_TARGET_LOW,33,26,5.351191684472697,5.351191684472697,1,6,,,,,,,,,0.9950600000000001
H_TARGET_LOW,33,27,-28.572035632868594,-28.572035632868594,0,6,,,,,,,,,0.99487
H_TARGET_LOW,33,28,-21.79906060461442,-21.79906060461442,0,6,,,,,,,,,0.99468
H_TARGET_LOW,33,29,-37.11577568732614,-37.11577568732614,0,6,,,,,,,,,0.99449
H_TARGET_LOW,33,30,-34.44140291893033,-34.44140291893033,0,6,,,,,,,,,0.9943
H_TARGET_LOW,33,31,-20.10964067382999,-20.10964067382999,0,6,,,,,,,,,0.99411
H_TARGET_LOW,33,32,-0.1892888189241062,-0.1892888189241062,0,6,,,,,,,,,0.99392
H_TARGET_LOW,33,33,-31.584028854482504,-31.584028854482504,0,6,,,,,,,,,0.99373
H_TARGET_LOW,33,34,-6.4791564824643135,-6.4791564824643135,0,6,,,,,,,,,0.99354
H_TARGET_LOW,33,35,6.547743798756114,6.547743798756114,1,6,,,,,,,,,0.99335
H_TARGET_LOW,33,36,-14.724908158621378,-14.724908158621378,0,6,,,,,,,,,0.99316
H_TARGET_LOW,33,37,-19.329843390856585,-19.329843390856585,0,6,,,,,,,,,0.99297
H_TARGET_LOW,33,38,5.092590941969431,5.092590941969431,1,6,,,,,,,,,0.99278
H_TARGET_LOW,33,39,-41.896813657567606,-41.896813657567606,0,6,,,,,,,,,0.99259
H_TARGET_LOW,33,40,-19.564510404713687,-19.564510404713687,0,6,,,,,,,,,0.9924
H_TARGET_LOW,33,41,0.425582348943248,0.425582348943248,1,6,,,,,,,,,0.99221
H_TARGET_LOW,33,42,-2.8466681788166195,-2.8466681788166195,0,6,,,,,,,,,0.99202
H_TARGET_LOW,33,43,-15.88811750106467,-15.88811750106467,0,6,,,,,,,,,0.99183
H_TARGET_LOW,33,44,32.89855891763493,32.89855891763493,1,6,,,,,,,,,0.99164
H_TARGET_LOW,33,45,-20.715512822483525,-20.715512822483525,0,6,,,,,,,,,0.99145
H_TARGET_LOW,33,46,-1.123684954642795,-1.123684954642795,0,6,,,,,,,,,0.99126
H_TARGET_LOW,33,47,-20.819732992995196,-20.819732992995196,0,6,,,,,,,,,0.99107
H_TARGET_LOW,33,48,-36.03424157576315,-36.03424157576315,0,6,,,,,,,,,0.99088
H_TARGET_LOW,33,49,-16.897292723141092,-16.897292723141092,0,6,,,,,,,,,0.99069
H_TARGET_LOW,33,50,3.9034623115627545,3.9034623115627545,1,6,,,,,,,,,0.9905
H_TARGET_LOW,33,51,-23.43176249652106,-23.43176249652106,0,6,,,,,,,,,0.99031
H_TARGET_LOW,33,52,-1.4984098026212083,-1.4984098026212083,0,6,,,,,,,,,0.99012
H_TARGET_LOW,33,53,-0.3787768878240314,-0.3787768878240314,0,6,,,,,,,,,0.98993
H_TARGET_LOW,33,54,-1.5632186420076222,-1.5632186420076222,0,6,,,,,,,,,0.98974
H_TARGET_LOW,33,55,-4.991234913325357,-4.991234913325357,0,6,,,,,,,,,0.98955
H_TARGET_LOW,33,56,-45.435378575934074,-45.435378575934074,0,6,,,,,,,,,0.98936
H_TARGET_LOW,33,57,-9.857408535927517,-9.857408535927517,0,6,,,,,,,,,0.98917
H_TARGET_LOW,33,58,-29.605671055240595,-29.605671055240595,0,6,,,,,,,,,0.98898
H_TARGET_LOW,33,59,-24.3651376321534,-24.3651376321534,0,6,,,,,,,,,0.98879
H_TARGET_LOW,33,60,-7.835711357515102,-7.835711357515102,0,6,,,,,,,,,0.9886
H_TARGET_LOW,33,61,-3.2377954331905086,-3.2377954331905086,0,6,,,,,,,,,0.98841
H_TARGET_LOW,33,62,-16.867783889739247,-16.867783889739247,0,6,,,,,,,,,0.98822
H_TARGET_LOW,33,63,-11.128563287292698,-11.128563287292698,0,6,,,,,,,,,0.98803
H_TARGET_LOW,33,64,-35.53901415490114,-35.53901415490114,0,6,,,,,,,,,0.98784
H_TARGET_LOW,33,65,-30.98667287460291,-30.98667287460291,0,6,,,,,,,,,0.98765
H_TARGET_LOW,33,66,-68.38355633024462,-68.38355633024462,0,6,,,,,,,,,0.98746
H_TARGET_LOW,33,67,2.322341557511038,2.322341557511038,1,6,,,,,,,,,0.98727
H_TARGET_LOW,33,68,-9.818984496408785,-9.818984496408785,0,6,,,,,,,,,0.98708
H_TARGET_LOW,33,69,-10.076753492410376,-10.076753492410376,0,6,,,,,,,,,0.98689
H_TARGET_LOW,33,70,-0.088999563202103,-0.088999563202103,0,6,,,,,,,,,0.9867
H_TARGET_LOW,33,71,6.530976799556269,6.530976799556269,1,6,,,,,,,,,0.98651
H_TARGET_LOW,33,72,-0.981901693655201,-0.981901693655201,0,6,,,,,,,,,0.98632
H_TARGET_LOW,33,73,-32.86172795206965,-32.86172795206965,0,6,,,,,,,,,0.98613
H_TARGET_LOW,33,74,44.582554423397156,44.582554423397156,1,6,,,,,,,,,0.98594
H_TARGET_LOW,33,75,-24.417177355855568,-24.417177355855568,0,6,,,,,,,,,0.98575
H_TARGET_LOW,33,76,-21.582043449012517,-21.582043449012517,0,6,,,,,,,,,0.98556
H_TARGET_LOW,33,77,-13.8004603299631,-13.8004603299631,0,6,,,,,,,,,0.98537
H_TARGET_LOW,33,78,1.679190490584058,1.679190490584058,1,6,,,,,,,,,0.9851800000000001
H_TARGET_LOW,33,79,40.208054566153585,40.208054566153585,1,6,,,,,,,,,0.98499
H_TARGET_LOW,33,80,17.192505136571953,17.192505136571953,1,6,,,,,,,,,0.9848
H_TARGET_LOW,33,81,6.037093655149617,6.037093655149617,1,6,,,,,,,,,0.98461
H_TARGET_LOW,33,82,-63.91208906225419,-63.91208906225419,0,6,,,,,,,,,0.98442
H_TARGET_LOW,33,83,-16.407838728889637,-16.407838728889637,0,6,,,,,,,,,0.98423
H_TARGET_LOW,33,84,-10.555817638669879,-10.555817638669879,0,6,,,,,,,,,0.98404
H_TARGET_LOW,33,85,-44.45573067987782,-44.45573067987782,0,6,,,,,,,,,0.98385
H_TARGET_LOW,33,86,-9.334040663797417,-9.334040663797417,0,6,,,,,,,,,0.98366
H_TARGET_LOW,33,87,-26.059371927219114,-26.059371927219114,0,6,,,,,,,,,0.98347
H_TARGET_LOW,33,88,-16.666751362319932,-16.666751362319932,0,6,,,,,,,,,0.98328
H_TARGET_LOW,33,89,-13.167647568055827,-13.167647568055827,0,6,,,,,,,,,0.98309
H_TARGET_LOW,33,90,8.714063276441692,8.714063276441692,1,6,,,,,,,,,0.9829
H_TARGET_LOW,33,91,26.081690425340554,26.081690425340554,1,6,,,,,,,,,0.98271
H_TARGET_LOW,33,92,-5.216142693694353,-5.216142693694353,0,6,,,,,,,,,0.98252
H_TARGET_LOW,33,93,-17.84323746203429,-17.84323746203429,0,6,,,,,,,,,0.98233
H_TARGET_LOW,33,94,3.536220714332983,3.536220714332983,1,6,,,,,,,,,0.98214
H_TARGET_LOW,33,95,0.20965358572489023,0.20965358572489023,1,6,,,,,,,,,0.98195
H_TARGET_LOW,33,96,-3.2825478045546137,-3.2825478045546137,0,6,,,,,,,,,0.98176
H_TARGET_LOW,33,97,-4.080989653232299,-4.080989653232299,0,6,,,,,,,,,0.98157
H_TARGET_LOW,33,98,9.603870387864461,9.603870387864461,1,6,,,,,,,,,0.98138
H_TARGET_LOW,33,99,13.582632881530746,13.582632881530746,1,6,,,,,,,,,0.98119
H_TARGET_LOW,33,100,-19.491215642982176,-19.491215642982176,0,6,,,,,,,,,0.981
H_TARGET_LOW,33,101,-13.91535554073431,-13.91535554073431,0,6,,,,,,,,,0.98081
H_TARGET_LOW,33,102,39.60525562178647,39.60525562178647,1,6,,,,,,,,,0.98062
H_TARGET_LOW,33,103,20.229301927747237,20.229301927747237,1,6,,,,,,,,,0.98043
H_TARGET_LOW,33,104,-4.8626068043953214,-4.8626068043953214,0,6,,,,,,,,,0.98024
H_TARGET_LOW,33,105,-9.359539672095782,-9.359539672095782,0,6,,,,,,,,,0.98005
H_TARGET_LOW,33,106,-2.767647764671369,-2.767647764671369,0,6,,,,,,,,,0.97986
H_TARGET_LOW,33,107,-7.289626493334698,-7.289626493334698,0,6,,,,,,,,,0.97967
H_TARGET_LOW,33,108,8.488969799340076,8.488969799340076,1,6,,,,,,,,,0.97948
H_TARGET_LOW,33,109,-4.568948780366572,-4.568948780366572,0,6,,,,,,,,,0.97929
H_TARGET_LOW,33,110,-8.290441729700989,-8.290441729700989,0,6,,,,,,,,,0.9791
H_TARGET_LOW,33,111,-29.90152272463843,-29.90152272463843,0,6,,,,,,,,,0.97891
H_TARGET_LOW,33,112,-0.5931754971993755,-0.5931754971993755,0,6,,,,,,,,,0.97872
H_TARGET_LOW,33,113,-21.084920169163134,-21.084920169163134,0,6,,,,,,,,,0.97853
H_TARGET_LOW,33,114,-42.12569593612194,-42.12569593612194,0,6,,,,,,,,,0.97834
H_TARGET_LOW,33,115,3.340720548835261,3.340720548835261,1,6,,,,,,,,,0.97815
H_TARGET_LOW,33,116,10.703510166895157,10.703510166895157,1,6,,,,,,,,,0.97796
H_TARGET_LOW,33,117,-14.851899853675235,-14.851899853675235,0,6,,,,,,,,,0.97777
H_TARGET_LOW,33,118,-24.63205803681443,-24.63205803681443,0,6,,,,,,,,,0.97758
H_TARGET_LOW,33,119,40.66443239459242,40.66443239459242,1,6,,,,,,,,,0.97739
H_TARGET_LOW,33,120,-19.203345589715674,-19.203345589715674,0,6,,,,,,,,,0.9772
H_TARGET_LOW,33,121,42.76713420126133,42.76713420126133,1,6,,,,,,,,,0.97701
H_TARGET_LOW,33,122,-31.891737872801965,-31.891737872801965,0,6,,,,,,,,,0.97682
H_TARGET_LOW,33,123,-4.612429340284676,-4.612429340284676,0,6,,,,,,,,,0.97663
H_TARGET_LOW,33,124,-25.34025002312768,-25.34025002312768,0,6,,,,,,,,,0.97644
H_TARGET_LOW,33,125,-70.01718294154175,-70.01718294154175,0,6,,,,,,,,,0.97625
H_TARGET_LOW,33,126,-14.86780580734907,-14.86780580734907,0,6,,,,,,,,,0.97606
H_TARGET_LOW,33,127,35.929910942157065,35.929910942157065,1,6,,,,,,,,,0.97587
H_TARGET_LOW,33,128,-34.37742108574487,-34.37742108574487,0,6,,,,,,,,,0.97568
H_TARGET_LOW,33,129,-6.7655585788761154,-6.7655585788761154,0,6,,,,,,,,,0.97549
H_TARGET_LOW,33,130,7.643194176946993,7.643194176946993,1,6,,,,,,,,,0.9753000000000001
H_TARGET_LOW,33,131,-18.90466823309008,-18.90466823309008,0,6,,,,,,,,,0.97511
H_TARGET_LOW,33,132,-4.128067357752122,-4.128067357752122,0,6,,,,,,,,,0.97492
H_TARGET_LOW,33,133,-20.894609928104792,-20.894609928104792,0,6,,,,,,,,,0.97473
H_TARGET_LOW,33,134,41.8330227646112,41.8330227646112,1,6,,,,,,,,,0.97454
H_TARGET_LOW,33,135,-25.156616974331435,-25.156616974331435,0,6,,,,,,,,,0.97435
H_TARGET_LOW,33,136,-27.882095447331057,-27.882095447331057,0,6,,,,,,,,,0.97416
H_TARGET_LOW,33,137,-51.576077969146965,-51.576077969146965,0,6,,,,,,,,,0.97397
H_TARGET_LOW,33,138,-24.179100217390435,-24.179100217390435,0,6,,,,,,,,,0.97378
H_TARGET_LOW,33,139,23.78416658705721,23.78416658705721,1,6,,,,,,,,,0.97359
H_TARGET_LOW,33,140,-0.20220921086464472,-0.20220921086464472,0,6,,,,,,,,,0.9734
H_TARGET_LOW,33,141,-8.408163309416395,-8.408163309416395,0,6,,,,,,,,,0.97321
H_TARGET_LOW,33,142,-8.697306203647187,-8.697306203647187,0,6,,,,,,,,,0.97302
H_TARGET_LOW,33,143,24.195800110744663,24.195800110744663,1,6,,,,,,,,,0.97283
H_TARGET_LOW,33,144,13.841517504060722,13.841517504060722,1,6,,,,,,,,,0.97264
H_TARGET_LOW,33,145,-44.31697336772267,-44.31697336772267,0,6,,,,,,,,,0.97245
H_TARGET_LOW,33,146,10.524362304294769,10.524362304294769,1,6,,,,,,,,,0.97226
H_TARGET_LOW,33,147,-15.334346510264135,-15.334346510264135,0,6,,,,,,,,,0.97207
H_TARGET_LOW,33,148,6.048860053792438,6.048860053792438,1,6,,,,,,,,,0.97188
H_TARGET_LOW,33,149,-4.5115506162223475,-4.5115506162223475,0,6,,,,,,,,,0.97169
H_TARGET_LOW,33,150,-45.60304637608613,-45.60304637608613,0,6,,,,,,,,,0.9715
H_TARGET_LOW,33,151,-11.220430581286237,-11.220430581286237,0,6,,,,,,,,,0.97131
H_TARGET_LOW,33,152,-0.4672770872579681,-0.4672770872579681,0,6,,,,,,,,,0.97112
H_TARGET_LOW,33,153,2.9099673985565007,2.9099673985565007,1,6,,,,,,,,,0.97093
H_TARGET_LOW,33,154,-34.98247744471288,-34.98247744471288,0,6,,,,,,,,,0.97074
H_TARGET_LOW,33,155,-3.4765526055813876,-3.4765526055813876,0,6,,,,,,,,,0.97055
