run_id,seed,episode,episodes,mean_objective_return,objective_return_std,survival_rate,mean_final_energy,final_energy_std,mean_survivor_energy,mean_failure_energy
H_TARGET_LOW,22,0,100,-5.949003463497498,10.370278834370072,0.4,-5.949003463497498,10.370278834370072,3.2605418433363638,-12.088700334720075
H_TARGET_LOW,22,250,100,8.918770492866763,32.756623480206144,0.46,8.918770492866763,32.756623480206144,42.372412943552185,-19.578776779939343
H_TARGET_LOW,22,500,100,12.140388665010835,30.659633861097348,0.52,12.140388665010835,30.659633861097348,40.30031967201524,-18.366203259243942
H_TARGET_LOW,22,750,100,5.733916895966605,30.65795497276817,0.41,5.733916895966605,30.65795497276817,40.60206261163848,-18.49648944882233
H_TARGET_LOW,22,1000,100,12.140388665010835,30.659633861097348,0.52,12.140388665010835,30.659633861097348,40.30031967201524,-18.366203259243942
H_TARGET_LOW,22,1250,100,12.140388665010835,30.659633861097348,0.52,12.140388665010835,30.659633861097348,40.30031967201524,-18.366203259243942
H_TARGET_LOW,22,1500,100,12.411968760312039,31.261427973099295,0.52,12.411968760312039,31.261427973099295,40.38326263146954,-17.890266266775253
H_TARGET_LOW,22,1750,100,12.411968760312039,31.261427973099295,0.52,12.411968760312039,31.261427973099295,40.38326263146954,-17.890266266775253
H_TARGET_LOW,22,2000,100,12.411968760312039,31.261427973099295,0.52,12.411968760312039,31.261427973099295,40.38326263146954,-17.890266266775253
H_TARGET_LOW,22,2250,100,12.450822759439893,30.723075792015408,0.52,12.450822759439893,30.723075792015408,40.52941996727748,-17.967657549050823
H_TARGET_LOW,22,2500,100,12.411968760312039,31.261427973099295,0.52,12.411968760312039,31.261427973099295,40.38326263146954,-17.890266266775253
H_TARGET_LOW,22,2750,100,12.411968760312039,31.261427973099295,0.52,12.411968760312039,31.261427973099295,40.38326263146954,-17.890266266775253
H_TARGET_LOW,22,3000,100,12.411968760312039,31.261427973099295,0.52,12.411968760312039,31.261427973099295,40.38326263146954,-17.890266266775253
H_TARGET_LOW,22,3250,100,12.411968760312039,31.261427973099295,0.52,12.411968760312039,31.261427973099295,40.38326263146954,-17.890266266775253
H_TARGET_LOW,22,3500,100,0.21614195863651425,31.913176663770255,0.47,0.21614195863651425,31.913176663770255,31.258769562758527,-27.312225916716958
H_TARGET_LOW,22,3750,100,12.50779712513909,31.080479650289877,0.52,12.50779712513909,31.080479650289877,40.308487254287336,-17.609617181438164
H_TARGET_LOW,22,4000,100,12.411968760312039,31.261427973099295,0.52,12.411968760312039,31.261427973099295,40.38326263146954,-17.890266266775253
H_TARGET_LOW,22,4250,100,12.140388665010835,30.659633861097348,0.52,12.140388665010835,30.659633861097348,40.30031967201524,-18.366203259243942
H_TARGET_LOW,22,4500,100,12.411968760312039,31.261427973099295,0.52,12.411968760312039,31.261427973099295,40.38326263146954,-17.890266266775253
H_TARGET_LOW,22,4750,100,12.140388665010835,30.659633861097348,0.52,12.140388665010835,30.659633861097348,40.30031967201524,-18.366203259243942
H_TARGET_LOW,22,5000,100,12.363013264067597,30.72568118284973,0.52,12.363013264067597,30.72568118284973,40.469829430163216,-18.08603758253599
